Position, Time(s)
X=-213.434 Y=-0.304 Z=164.540,0.255494
X=-213.329 Y=-0.696 Z=164.924,0.4
X=-213.416 Y=-0.799 Z=165.000,0.011387
X=-213.504 Y=-0.561 Z=165.064,0.030655
X=-213.600 Y=-0.303 Z=165.100,0.028177
X=-213.664 Y=-0.190 Z=165.221,0.037254
X=-213.652 Y=-0.369 Z=165.346,0.035285
X=-213.606 Y=-0.791 Z=165.304,0.034631
X=-213.620 Y=-1.263 Z=165.304,0.033476
X=-213.593 Y=-1.476 Z=165.462,0.033406
X=-213.559 Y=-1.528 Z=165.614,0.033187
X=-213.544 Y=-1.517 Z=165.709,0.033091
X=-213.550 Y=-1.474 Z=165.746,0.033532
X=-213.489 Y=-1.379 Z=165.812,0.03349
X=-213.335 Y=-1.213 Z=165.813,0.033515
X=-213.101 Y=-1.016 Z=165.720,0.033863
X=-212.839 Y=-0.856 Z=165.482,0.033581
X=-212.596 Y=-0.726 Z=165.173,0.033697
X=-212.420 Y=-0.653 Z=164.831,0.033216
X=-212.452 Y=-0.611 Z=164.571,0.033305
X=-212.551 Y=-0.614 Z=164.608,0.033541
X=-212.564 Y=-0.742 Z=164.818,0.033768
X=-212.558 Y=-0.929 Z=165.031,0.032833
X=-212.561 Y=-1.074 Z=165.058,0.032915
X=-212.527 Y=-1.191 Z=164.850,0.033049
X=-212.389 Y=-1.163 Z=164.684,0.052255
X=-212.354 Y=-1.095 Z=164.454,0.055651
X=-212.344 Y=-1.170 Z=164.433,0.056737
X=-212.422 Y=-1.210 Z=164.432,0.054131
X=-212.516 Y=-1.234 Z=164.316,0.05429
X=-212.533 Y=-1.204 Z=164.291,0.055812
X=-212.459 Y=-1.182 Z=164.285,0.055754
X=-212.464 Y=-1.153 Z=164.205,0.055935
X=-212.373 Y=-1.206 Z=164.217,0.055996
X=-212.325 Y=-1.157 Z=164.144,0.055537
X=-212.274 Y=-1.172 Z=164.057,0.055676
X=-212.183 Y=-1.175 Z=163.967,0.054535
X=-212.141 Y=-1.224 Z=163.763,0.056059
X=-212.069 Y=-1.328 Z=163.632,0.055479
X=-212.096 Y=-1.340 Z=163.545,0.055634
X=-212.101 Y=-1.363 Z=163.532,0.055157
X=-212.145 Y=-1.417 Z=163.588,0.056183
X=-212.126 Y=-1.462 Z=163.589,0.052116
X=-212.101 Y=-1.547 Z=163.597,0.027576
X=-212.037 Y=-1.632 Z=163.556,0.039835
X=-212.012 Y=-1.664 Z=163.500,0.042959
X=-211.958 Y=-1.636 Z=163.510,0.044588
X=-211.923 Y=-1.510 Z=163.573,0.045903
X=-211.833 Y=-1.273 Z=163.707,0.043635
X=-211.816 Y=-0.714 Z=163.941,0.044954
X=-211.887 Y=0.176 Z=164.310,0.043924
X=-212.146 Y=1.383 Z=164.709,0.044781
X=-212.659 Y=2.626 Z=164.852,0.044445
X=-213.241 Y=3.645 Z=164.824,0.045369
X=-213.675 Y=4.395 Z=164.793,0.043951
X=-213.906 Y=4.841 Z=164.867,0.04617
X=-214.143 Y=5.117 Z=164.992,0.043054
X=-214.326 Y=5.231 Z=165.107,0.044008
X=-214.489 Y=5.315 Z=165.266,0.043965
X=-214.523 Y=5.415 Z=165.409,0.045219
X=-214.443 Y=5.491 Z=165.444,0.043707
X=-214.504 Y=5.467 Z=165.321,0.045587
X=-214.475 Y=5.285 Z=165.331,0.043534
X=-214.225 Y=5.061 Z=165.510,0.044903
X=-213.725 Y=4.718 Z=165.666,0.044999
X=-213.194 Y=4.182 Z=165.841,0.039952
X=-212.958 Y=3.564 Z=166.103,0.043664
X=-212.996 Y=2.976 Z=166.355,0.044677
X=-213.261 Y=2.538 Z=166.556,0.044907
X=-213.526 Y=2.145 Z=166.777,0.043319
X=-213.854 Y=1.897 Z=166.923,0.045751
X=-214.079 Y=1.718 Z=167.039,0.044049
X=-214.263 Y=1.592 Z=167.181,0.043721
X=-214.391 Y=1.477 Z=167.237,0.045651
X=-214.489 Y=1.393 Z=167.310,0.043142
X=-214.535 Y=1.262 Z=167.421,0.04478
X=-214.516 Y=1.108 Z=167.525,0.044192
X=-214.431 Y=0.841 Z=167.637,0.043984
X=-214.240 Y=0.358 Z=167.713,0.045513
X=-213.985 Y=-0.184 Z=167.871,0.043293
X=-213.773 Y=-0.774 Z=168.003,0.04586
X=-213.577 Y=-1.232 Z=168.022,0.043013
X=-213.419 Y=-1.540 Z=167.925,0.044303
X=-213.349 Y=-1.743 Z=167.666,0.044476
X=-213.276 Y=-1.838 Z=167.520,0.045198
X=-213.226 Y=-1.875 Z=167.475,0.044523
X=-213.300 Y=-1.864 Z=167.439,0.044688
X=-213.464 Y=-1.761 Z=167.432,0.041567
X=-213.645 Y=-1.628 Z=167.424,0.042572
X=-213.769 Y=-1.493 Z=167.388,0.044919
X=-213.904 Y=-1.381 Z=167.360,0.043983
X=-214.022 Y=-1.295 Z=167.339,0.044676
X=-214.178 Y=-1.240 Z=167.312,0.044003
X=-214.295 Y=-1.214 Z=167.285,0.044705
X=-214.376 Y=-1.281 Z=167.222,0.045212
X=-214.392 Y=-1.316 Z=167.148,0.043777
X=-214.439 Y=-1.343 Z=167.086,0.044196
X=-214.440 Y=-1.343 Z=167.067,0.044724
X=-214.445 Y=-1.350 Z=167.033,0.044731
X=-214.425 Y=-1.351 Z=167.006,0.044616
X=-214.390 Y=-1.368 Z=166.978,0.044373
X=-214.372 Y=-1.419 Z=166.968,0.045685
X=-214.331 Y=-1.436 Z=166.964,0.042938
X=-214.340 Y=-1.492 Z=166.967,0.044659
X=-214.324 Y=-1.537 Z=166.975,0.044875
X=-214.327 Y=-1.539 Z=166.973,0.044361
X=-214.332 Y=-1.588 Z=166.984,0.044318
X=-214.365 Y=-1.651 Z=166.982,0.043875
X=-214.447 Y=-1.727 Z=166.980,0.046169
X=-214.517 Y=-1.806 Z=166.969,0.042299
X=-214.608 Y=-1.886 Z=166.987,0.04102
X=-214.685 Y=-1.913 Z=167.005,0.045996
X=-214.739 Y=-1.971 Z=167.022,0.043054
X=-214.863 Y=-1.978 Z=167.010,0.043915
X=-214.887 Y=-1.974 Z=166.971,0.046534
X=-214.910 Y=-1.967 Z=166.950,0.043221
X=-214.936 Y=-1.932 Z=166.932,0.044671
X=-214.964 Y=-1.876 Z=166.912,0.044483
X=-215.034 Y=-1.809 Z=166.923,0.044542
X=-215.076 Y=-1.758 Z=166.918,0.044588
X=-215.137 Y=-1.708 Z=166.953,0.044623
X=-215.223 Y=-1.672 Z=166.944,0.044179
X=-215.238 Y=-1.635 Z=166.937,0.044221
X=-215.283 Y=-1.618 Z=166.947,0.04472
X=-215.345 Y=-1.580 Z=166.939,0.044543
X=-215.443 Y=-1.548 Z=166.938,0.043653
X=-215.527 Y=-1.509 Z=166.949,0.044405
X=-215.550 Y=-1.502 Z=166.963,0.044677
X=-215.582 Y=-1.510 Z=166.952,0.044519
