Position, Time(s)
X=-216.708 Y=21.966 Z=8.116,0.151548
X=-216.730 Y=21.959 Z=8.115,0.4
X=-216.721 Y=21.939 Z=8.128,0.011165
X=-216.696 Y=21.945 Z=8.111,0.072927
X=-216.695 Y=21.938 Z=8.131,0.042649
X=-216.732 Y=21.909 Z=8.155,0.213153
X=-216.706 Y=21.959 Z=8.127,0.21429
X=-216.722 Y=21.924 Z=8.142,0.141741
X=-216.726 Y=21.924 Z=8.144,0.131209
X=-216.651 Y=21.917 Z=8.146,0.121359
X=-216.690 Y=21.905 Z=8.148,0.121904
X=-216.702 Y=21.910 Z=8.159,0.080663
X=-216.697 Y=21.906 Z=8.154,0.055835
X=-216.696 Y=21.921 Z=8.168,0.054516
X=-216.685 Y=21.928 Z=8.160,0.055512
X=-216.690 Y=21.930 Z=8.153,0.056695
X=-216.693 Y=21.921 Z=8.156,0.054677
X=-216.673 Y=21.927 Z=8.153,0.055751
X=-216.682 Y=21.904 Z=8.170,0.055512
X=-216.709 Y=21.899 Z=8.174,0.054953
X=-216.683 Y=21.922 Z=8.151,0.059566
X=-216.714 Y=21.918 Z=8.157,0.056972
X=-216.680 Y=21.888 Z=8.148,0.050636
X=-216.702 Y=21.864 Z=8.177,0.05674
X=-216.684 Y=21.883 Z=8.169,0.054427
X=-216.686 Y=21.904 Z=8.155,0.055505
X=-216.679 Y=21.891 Z=8.170,0.055112
X=-216.676 Y=21.882 Z=8.177,0.055022
X=-216.640 Y=21.883 Z=8.165,0.055054
X=-216.659 Y=21.870 Z=8.182,0.056245
X=-216.663 Y=21.850 Z=8.168,0.05395
X=-216.689 Y=21.846 Z=8.185,0.056807
X=-216.693 Y=21.848 Z=8.203,0.054596
X=-216.695 Y=21.862 Z=8.185,0.056129
X=-216.467 Y=21.885 Z=8.096,0.057108
X=-215.762 Y=23.028 Z=8.551,0.053797
X=-218.408 Y=24.045 Z=14.312,0.056112
X=-220.103 Y=26.288 Z=21.931,0.055361
X=-221.374 Y=28.816 Z=30.022,0.055511
X=-221.169 Y=31.839 Z=41.211,0.054876
X=-220.291 Y=35.343 Z=52.568,0.056088
X=-218.516 Y=39.004 Z=64.515,0.05556
X=-216.350 Y=42.261 Z=76.670,0.056037
X=-214.444 Y=45.163 Z=88.241,0.054162
X=-212.832 Y=47.397 Z=98.620,0.056227
X=-211.448 Y=48.997 Z=108.197,0.055287
X=-210.278 Y=49.755 Z=116.576,0.054237
X=-209.246 Y=49.610 Z=124.813,0.054545
X=-208.574 Y=48.789 Z=132.284,0.057475
X=-208.195 Y=47.181 Z=139.272,0.054343
X=-208.255 Y=44.792 Z=145.813,0.055233
X=-208.256 Y=42.160 Z=151.492,0.055912
X=-208.233 Y=40.079 Z=156.122,0.054405
X=-208.169 Y=38.040 Z=160.493,0.057089
X=-208.050 Y=35.863 Z=164.472,0.053393
X=-207.800 Y=34.147 Z=168.049,0.056537
X=-207.732 Y=32.564 Z=171.853,0.055567
X=-208.135 Y=30.734 Z=175.627,0.054997
X=-209.159 Y=28.898 Z=178.860,0.056009
X=-210.872 Y=27.189 Z=181.403,0.055619
X=-213.011 Y=25.633 Z=182.969,0.055226
X=-215.605 Y=24.317 Z=183.396,0.055254
X=-218.095 Y=23.112 Z=182.356,0.055942
X=-220.371 Y=21.537 Z=180.306,0.05514
X=-222.427 Y=19.739 Z=178.056,0.052792
X=-220.526 Y=18.171 Z=179.154,0.055233
X=-218.772 Y=15.803 Z=178.571,0.054414
